,bq.record.name,bq.name,isArray,bq.array,tidy.name,type,
65,hits.item.currencyCode,hits.item.currencyCode,FALSE,NA,Hits Item Currency Code,STRING,
66,hits.contentInfo.contentDescription,hits.contentInfo.contentDescription,FALSE,NA,Hits Content Info Content Description,STRING,
67,hits.appInfo.name,hits.appInfo.name,FALSE,NA,Hits App Info Name,STRING,
68,hits.appInfo.version,hits.appInfo.version,FALSE,NA,Hits App Info Version,STRING,
69,hits.appInfo.id,hits.appInfo.id,FALSE,NA,Hits App Info Id,STRING,
70,hits.appInfo.installerId,hits.appInfo.installerId,FALSE,NA,Hits App Info Installer Id,STRING,
71,hits.appInfo.appInstallerId,hits.appInfo.appInstallerId,FALSE,NA,Hits App Info App Installer Id,STRING,
72,hits.appInfo.appName,hits.appInfo.appName,FALSE,NA,Hits App Info App Name,STRING,
73,hits.appInfo.appVersion,hits.appInfo.appVersion,FALSE,NA,Hits App Info App Version,STRING,
74,hits.appInfo.appId,hits.appInfo.appId,FALSE,NA,Hits App Info App Id,STRING,
75,hits.appInfo.screenName,hits.appInfo.screenName,FALSE,NA,Hits App Info Screen Name,STRING,
76,hits.appInfo.landingScreenName,hits.appInfo.landingScreenName,FALSE,NA,Hits App Info Landing Screen Name,STRING,
77,hits.appInfo.exitScreenName,hits.appInfo.exitScreenName,FALSE,NA,Hits App Info Exit Screen Name,STRING,
78,hits.appInfo.screenDepth,hits.appInfo.screenDepth,FALSE,NA,Hits App Info Screen Depth,STRING,
79,hits.exceptionInfo.description,hits.exceptionInfo.description,FALSE,NA,Hits Exception Info Description,STRING,
80,hits.exceptionInfo.isFatal,hits.exceptionInfo.isFatal,FALSE,NA,Hits Exception Info Is Fatal,BOOLEAN,
81,hits.eventInfo.eventCategory,hits.eventInfo.eventCategory,FALSE,NA,Hits Event Info Event Category,STRING,
82,hits.eventInfo.eventAction,hits.eventInfo.eventAction,FALSE,NA,Hits Event Info Event Action,STRING,
83,hits.eventInfo.eventLabel,hits.eventInfo.eventLabel,FALSE,NA,Hits Event Info Event Label,STRING,
84,hits.product.productSKU,productSKU,TRUE,product,Hits Product Product S K U,STRING,
85,hits.product.v2ProductName,v2ProductName,TRUE,product,Hits Product V2 Product Name,STRING,
86,hits.product.v2ProductCategory,v2ProductCategory,TRUE,product,Hits Product V2 Product Category,STRING,
87,hits.product.productVariant,productVariant,TRUE,product,Hits Product Product Variant,STRING,
88,hits.product.productBrand,productBrand,TRUE,product,Hits Product Product Brand,STRING,
89,hits.product.isImpression,isImpression,TRUE,product,Hits Product Is Impression,BOOLEAN,
90,hits.product.isClick,isClick,TRUE,product,Hits Product Is Click,BOOLEAN,
91,hits.product.customDimensions.value,customDimensions.value,TRUE,product,Hits Product Custom Dimensions Value,STRING,
92,hits.product.productListName,productListName,TRUE,product,Hits Product Product List Name,STRING,
93,hits.product.productCouponCode,productCouponCode,TRUE,product,Hits Product Product Coupon Code,STRING,
94,hits.promotion.promoId,promoId,TRUE,promotion,Hits Promotion Promo Id,STRING,
